Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"300750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Industrials","Equity","108,417,552.76","3.31","108,417,552.76","1,924,805.00","56.33","China","Shenzhen Stock Exchange","CNY"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","96,855,136.98","2.96","96,855,136.98","546,519.00","177.22","China","Shanghai Stock Exchange","CNY"
"300308","ZHONGJI INNOLIGHT LTD A","Information Technology","Equity","81,655,774.31","2.49","81,655,774.31","484,941.00","168.38","China","Shenzhen Stock Exchange","CNY"
"688256","CAMBRICON TECHNOLOGIES CORPORATION","Information Technology","Equity","55,364,679.81","1.69","55,364,679.81","273,922.00","202.12","China","Shanghai Stock Exchange","CNY"
"600036","CHINA MERCHANTS BANK LTD A","Financials","Equity","48,607,399.80","1.48","48,607,399.80","9,015,079.00","5.39","China","Shanghai Stock Exchange","CNY"
"688041","HYGON INFORMATION TECHNOLOGY LTD A","Information Technology","Equity","48,144,041.96","1.47","48,144,041.96","1,014,014.00","47.48","China","Shanghai Stock Exchange","CNY"
"300502","EOPTOLINK TECHNOLOGY INC LTD A","Information Technology","Equity","45,570,275.51","1.39","45,570,275.51","607,732.00","74.98","China","Shenzhen Stock Exchange","CNY"
"601138","FOXCONN INDUSTRIAL INTERNET LTD A","Information Technology","Equity","43,487,019.14","1.33","43,487,019.14","4,610,969.00","9.43","China","Shanghai Stock Exchange","CNY"
"600900","CHINA YANGTZE POWER LTD A","Utilities","Equity","42,311,583.27","1.29","42,311,583.27","10,657,338.00","3.97","China","Shanghai Stock Exchange","CNY"
"002371","NAURA TECHNOLOGY GROUP LTD A","Information Technology","Equity","39,271,539.71","1.20","39,271,539.71","316,670.00","124.01","China","Shenzhen Stock Exchange","CNY"
"601899","ZIJIN MINING GROUP LTD A","Materials","Equity","34,844,111.72","1.06","34,844,111.72","8,993,358.00","3.87","China","Shanghai Stock Exchange","CNY"
"601318","PING AN INSURANCE (GROUP) OF CHINA","Financials","Equity","33,428,652.17","1.02","33,428,652.17","4,638,533.00","7.21","China","Shanghai Stock Exchange","CNY"
"601288","AGRICULTURAL BANK OF CHINA LTD A","Financials","Equity","32,751,415.37","1.00","32,751,415.37","37,177,238.00","0.88","China","Shanghai Stock Exchange","CNY"
"603986","GIGADEVICE SEMICONDUCTOR INC A","Information Technology","Equity","29,884,578.35","0.91","29,884,578.35","291,964.00","102.36","China","Shanghai Stock Exchange","CNY"
"002594","BYD LTD A","Consumer Discretionary","Equity","29,109,902.66","0.89","29,109,902.66","2,364,496.00","12.31","China","Shenzhen Stock Exchange","CNY"
"601398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","28,617,636.69","0.87","28,617,636.69","27,554,522.00","1.04","China","Shanghai Stock Exchange","CNY"
"002475","LUXSHARE PRECISION INDUSTRY LTD A","Information Technology","Equity","28,481,141.26","0.87","28,481,141.26","3,174,595.00","8.97","China","Shenzhen Stock Exchange","CNY"
"002384","SUZHOU DONGSHAN PRECISION MANUFACT","Information Technology","Equity","26,101,880.22","0.80","26,101,880.22","799,270.00","32.66","China","Shenzhen Stock Exchange","CNY"
"688012","ADVANCED MICRO-FABRICATION EQUIPME","Information Technology","Equity","24,659,354.73","0.75","24,659,354.73","409,367.00","60.24","China","Shanghai Stock Exchange","CNY"
"600183","SHENGYI TECHNOLOGY LTD A","Information Technology","Equity","23,743,203.15","0.72","23,743,203.15","1,060,686.00","22.38","China","Shanghai Stock Exchange","CNY"
"601166","INDUSTRIAL BANK LTD A","Financials","Equity","23,153,886.43","0.71","23,153,886.43","9,212,831.00","2.51","China","Shanghai Stock Exchange","CNY"
"601328","BANK OF COMMUNICATIONS LTD A","Financials","Equity","22,383,429.58","0.68","22,383,429.58","23,339,625.00","0.96","China","Shanghai Stock Exchange","CNY"
"600030","CITIC SECURITIES LTD A","Financials","Equity","22,360,951.28","0.68","22,360,951.28","5,303,577.00","4.22","China","Shanghai Stock Exchange","CNY"
"600276","JIANGSU HENGRUI MEDICINE LTD A","Health Care","Equity","21,949,086.91","0.67","21,949,086.91","2,785,429.00","7.88","China","Shanghai Stock Exchange","CNY"
"000725","BOE TECHNOLOGY GROUP LTD A","Information Technology","Equity","21,324,470.02","0.65","21,324,470.02","15,906,883.00","1.34","China","Shenzhen Stock Exchange","CNY"
"300059","EAST MONEY INFORMATION LTD A","Financials","Equity","21,017,812.27","0.64","21,017,812.27","6,882,345.00","3.05","China","Shenzhen Stock Exchange","CNY"
"603993","CHINA MOLYBDENUM LTD A","Materials","Equity","20,498,212.78","0.63","20,498,212.78","7,607,650.00","2.69","China","Shanghai Stock Exchange","CNY"
"688008","MONTAGE TECHNOLOGY LTD A","Information Technology","Equity","19,735,922.00","0.60","19,735,922.00","497,750.00","39.65","China","Shanghai Stock Exchange","CNY"
"603259","WUXI APPTEC LTD A","Health Care","Equity","19,325,139.05","0.59","19,325,139.05","1,081,459.00","17.87","China","Shanghai Stock Exchange","CNY"
