AS_OF_DATE,SEDOL,Name,Weight (%),Ticker,MARKET_PRICE,SHARES_HELD,MARKET_VALUE,ISIN,Country
2026-07-02,2879327,TECK RESOURCES LTD-CLS B,5.539,TECK/B CN,60.01,1011057,60678391.76,CA8787422044,CA
2026-07-02,6144690,BHP GROUP LTD,5.506,BHP AU,41.31,1460408,60323335.36,AU000000BHP4,AU
2026-07-02,0045614,ANTOFAGASTA PLC,5.393,ANTO LN,51.51,1146816,59077702.87,GB0000456144,GB
2026-07-02,B05BDX1,HUDBAY MINERALS INC,5.382,HBM CN,22.56,2613049,58962428.52,CA4436281022,CA
2026-07-02,5263251,KGHM POLSKA MIEDZ SA,5.301,KGH PW,88.71,654574,58070292.21,PLKGHM000017,PL
2026-07-02,2347608,FIRST QUANTUM MINERALS LTD,5.184,FM CN,27.75,2046844,56794634.84,CA3359341052,CA
2026-07-02,2823777,SOUTHERN COPPER CORP,4.933,SCCO,172.01,314205,54046402.05,US84265V1052,US
2026-07-02,BPYTZ57,BOLIDEN AB,4.887,BOL SS,54.39,984280,53535470.43,SE0020050417,SE
2026-07-02,B4T3BW6,GLENCORE PLC,4.818,GLEN LN,6.83,7727158,52785453.78,JE00B4T3BW64,JE
2026-07-02,2352118,FREEPORT-MCMORAN INC,4.751,FCX,60.97,853722,52051430.34,US35671D8570,US
2026-07-02,2866857,LUNDIN MINING CORP,4.316,LUN CN,24.26,1949442,47287525.86,CA5503721063,CA
2026-07-02,6725299,ZIJIN MINING GROUP CO LTD-H,3.956,2899 HK,3.59,12062704,43341727.12,CNE100000502,CN
2026-07-02,6858849,SUMITOMO METAL MINING CO LTD,3.591,5713 JP,46.7,842481,39344901.12,JP3402600005,JP
2026-07-02,6739739,SANDFIRE RESOURCES LTD,3.526,SFR AU,12.9,2993533,38629044.52,AU000000SFR8,AU
2026-07-02,BMY5XY9,CAPSTONE COPPER CORP,3.524,CS CN,9.1,4244521,38609682.26,CA14071L1085,CA
2026-07-02,BD73C40,IVANHOE MINES LTD-CL A,3.49,IVN CN,7.55,5068108,38239083.03,CA46579R1047,CA
2026-07-02,5485527,AURUBIS AG,2.972,NDA GR,198.65,163915,32561670.67,DE0006766504,DE
2026-07-02,B60FNV8,CHINA GOLD INTERNATIONAL RES,2.444,2099 HK,17.4,1538382,26774254.97,CA16890P1036,CA
2026-07-02,6000305,JIANGXI COPPER CO LTD-H,2.327,358 HK,3.9,6539011,25495885.65,CNE1000003K3,CN
2026-07-02,6728793,MMG LTD,2.052,1208 HK,0.88,25550264,22478381.43,HK1208013172,HK
2026-07-02,6597089,MITSUBISHI MATERIALS CORP,2.02,5711 JP,27.64,800387,22126256.16,JP3903000002,JP
2026-07-02,BF02Z72,ERO COPPER CORP,1.51,ERO CN,26.09,633952,16540016.22,CA2960061091,CA
2026-07-02,BVBCQW5,NGEX MINERALS LTD,1.48,NGEX CN,18.05,898227,16214512.71,CA62930A1021,CA
2026-07-02,BRSCTS7,TREKOR METALS LTD,1.466,TGB,6.93,2317796,16062326.28,CA89472Y1079,CA
2026-07-02,2122355,ALTIUS MINERALS CORPORATION,1.238,ALS CN,45.28,299618,13565893.44,CA0209361009,CA
2026-07-02,B890GY2,CHINA NONFERROUS MINING CORP,1.109,1258 HK,1.45,8376229,12153779.64,HK0000112026,HK
2026-07-02,BYZTVM8,ATALAYA MINING COPPER SA,0.75,ATYM LN,10.69,768122,8212818.98,CY0106002112,CY
2026-07-02,BV106D0,WANGUO GOLD GROUP LTD,0.739,3939 HK,1.06,7666110,8093305.55,KYG9430L1150,KY
2026-07-02,BPF0KH6,IVANHOE ELECTRIC INC / US,0.68,IE,9.51,782897,7445350.47,US46578C1080,US
2026-07-02,BNVQGB0,DEVELOP GLOBAL LTD,0.655,DVP AU,4.33,1657792,7172956.09,AU0000179707,AU
2026-07-02,2637848,NORTHERN DYNASTY MINERALS,0.594,NDM CN,1.85,3510346,6510037.71,CA66510M2040,CA
2026-07-02,BNNVLT6,AL MASANE AL KOBRA MINING CO,0.579,AMAK AB,18.63,340262,6339075.53,SA15HG50KL10,SA
2026-07-02,BLNNJN8,FARADAY COPPER CORP,0.559,FDY CN,4.39,1394880,6127773.79,CA3073571034,CA
2026-07-02,BPDXXB2,FIREFLY METALS LTD,0.551,FFM AU,1.27,4768246,6033996.65,AU0000313769,AU
2026-07-02,BMQ5701,SOLARIS RESOURCES INC,0.467,SLS CN,8.51,601560,5119930.33,CA83419D2014,CA
2026-07-02,BYW9WY0,OSISKO METALS INC,0.446,OM CN,1.28,3830627,4889070.18,CA6882741094,CA
2026-07-02,BN79Z49,COLLECTIVE MINING LTD,0.368,CNL CN,13.26,303620,4027142.54,CA19425C1005,CA
2026-07-02,6641027,NITTETSU MINING CO LTD,0.364,1515 JP,14.74,270339,3985127.05,JP3680800004,JP
2026-07-02,2855822,AMERIGO RESOURCES LTD,0.359,ARG CN,4.4,893405,3931070.2,CA03074G1090,CA
2026-07-02,,CASH,0.16,,1,1758006.19,1758006.19,,
2026-07-02,,OTHER PAYABLE & RECEIVABLES,0.057,,1,621396.43,621396.43,,
2026-07-02,BNNFYB1,BELLAVISTA RESOURCES LTD,0.008,BVR AU,0.26,346617,91330.74,AU0000216913,AU
2026-07-02,,BRITISH STERLING POUND,0.002,,1.34,15458.38,20673.19,,
2026-07-02,,EURO,0,,1.14,1022.47,1170.01,,
2026-07-02,,HONG KONG DOLLAR,0,,0.13,632.33,80.62,,
2026-07-02,,JAPANESE YEN,0,,0.01,5957,36.99,,
2026-07-02,,SWEDISH KRONE,0,,0.1,350.27,36.27,,
2026-07-02,,SAUDI RIYAL,0,,0.27,103.71,27.62,,
2026-07-02,,AUSTRALIAN DOLLAR,-0.019,,0.69,-295386.43,-204820.81,,
2026-07-02,,CANADIAN DOLLAR,-0.034,,0.71,-529436.3,-373328.84,,
