Global X Robotics & Artificial Intelligence ETF
Fund Holdings Data as of 07/02/2026
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
0.76,300024 C2,SIASUN ROBOT & AUTOMATION-A,BD5CNQ8,2.620762805270449,"10,125,284.00","26,535,967.70"
0.74,454910 KS,DOOSAN ROBOTICS INC,BN4P528,53.54502796827038,"485,729.00","26,008,372.89"
0.72,HIAB FH,HIAB OYJ,BT195Y7,60.87653048597704,"416,995.00","25,385,208.83"
0.67,OUST,OUSTER INC,BMHVMY7,49.84,"473,105.00","23,579,553.20"
0.67,688169 C1,BEIJING ROBOROCK TECHNOLOG-A,BNR4NT5,14.04664044430783,"1,675,415.00","23,533,952.10"
0.65,2252 HK,SHANGHAI MICROPORT MEDBOT-H,BMX6SZ9,2.9708209280905,"7,708,300.00","22,899,978.96"
0.62,TECN SW,TECAN GROUP AG-REG,7110902,224.6868963663061,"96,706.00","21,728,571.00"
0.58,ATS CN,ATS CORP,BP8JT73,27.65574868789576,"741,938.00","20,518,850.87"
0.52,PONY,PONY AI INC,BRWKBD6,6.829999999999999,"2,654,986.00","18,133,554.38"
0.48,HSAI,HESAI GROUP,BMWS7Y8,17.19,"980,464.00","16,854,176.16"
0.46,108490 KS,ROBOTIS CO LTD,BGR7CR6,145.9150221902908,"109,958.00","16,044,524.01"
0.42,NQU6 Index,NASDAQ 100 E-MINI SEP26,"",591120.0,25.00,"14,778,000.00"
0.42,OMCL,OMNICELL INC,2789523,43.03,"342,300.00","14,729,169.00"
0.38,WRD,WERIDE INC-ADR,BMYDW80,5.52,"2,441,917.00","13,479,381.84"
0.35,6600 HK,ONEROBOTICS SHENZHEN CO -H,BVN4D40,7.191171691241262,"1,702,300.00","12,241,531.57"
0.32,2498 HK,ROBOSENSE TECHNOLOGY CO LTD,BNG5JM4,3.044772692655398,"3,650,300.00","11,114,333.76"
0.31,"",CASH,"",1.0,"10,781,449.43","10,781,449.43"
0.30,EXA FP,EXAIL TECHNOLOGIES,B06BGH5,138.8030667513645,"77,137.00","10,706,852.16"
0.30,688165 C1,EFORT INTELLIGENT ROBOT CO-A,BPDWRG2,3.118693007983373,"3,373,762.00","10,521,727.96"
0.27,2432 HK,SHENZHEN DOBOT CORP LTD-H,BTDQ4G1,3.248777563084823,"2,960,300.00","9,617,356.22"
0.25,PRCT,PROCEPT BIOROBOTICS CORP,BMYRFV6,21.03,"424,848.00","8,934,553.44"
0.22,APPN,APPIAN CORP-A,BYPBTB9,24.4,"323,010.00","7,881,444.00"
9.83,6861 JP,KEYENCE CORP,6490995,499.2393430429844,"691,065.00","345,006,836.60"
9.52,ABBN SW,ABB LTD-REG,7108899,105.8259081569489,"3,156,646.00","334,054,929.68"
8.64,6954 JP,FANUC CORP,6356934,44.76388587109739,"6,775,006.00","303,275,595.36"
8.14,NVDA,NVIDIA CORP,2379504,194.83,"1,466,082.00","285,636,756.06"
6.57,ISRG,INTUITIVE SURGICAL INC,2871301,426.01,"541,066.00","230,499,526.66"
4.44,6273 JP,SMC CORP,6763965,451.3024310030061,"345,631.00","155,984,110.53"
4.24,300124 C2,SHENZHEN INOVANCE TECHNOLO-A,BD5CMN8,10.07645732963204,"14,781,124.00","148,941,365.27"
3.67,6383 JP,DAIFUKU CO LTD,6250025,44.95637865118219,"2,862,566.00","128,690,601.01"
2.47,6506 JP,YASKAWA ELECTRIC CORP,6986041,43.10596417357368,"2,009,913.00","86,639,237.77"
2.41,CGNX,COGNEX CORP,2208288,67.8,"1,248,406.00","84,641,926.80"
2.40,300757 C2,ROBOTECHNIK INTELLIGENT TE-A,BNHPGJ9,77.97027150860252,"1,079,045.00","84,133,431.62"
2.33,AUR,AURORA INNOVATION INC,BMF0P92,6.630000000000001,"12,361,924.00","81,959,556.12"
2.29,GOOGL,ALPHABET INC-CL A,BYVY8G0,359.91,"223,319.00","80,374,741.29"
2.05,AVAV,AEROVIRONMENT INC,B1P5YY8,190.89,"376,220.00","71,816,635.80"
1.86,TSLA,TESLA INC,B616C79,393.45,"165,735.00","65,208,435.75"
1.84,BIDU,BAIDU INC - SPON ADR,B0FXT17,113.3,"569,699.00","64,546,896.70"
1.63,JBTM,JBT MAREL CORP,B3BRJZ8,145.83,"391,526.00","57,096,236.58"
1.62,6645 JP,OMRON CORP,6659428,36.54258126671076,"1,554,388.00","56,801,349.81"
1.47,9660 HK,HORIZON ROBOTICS INC,BS5YNY7,0.5469880593488285,"94,377,600.00","51,623,420.27"
1.34,1810 HK,XIAOMI CORP-CLASS B,BG0ZMJ9,2.881568797374576,"16,332,600.00","47,063,510.54"
1.29,277810 KS,RAINBOW ROBOTICS,BM9Q3J2,311.7567654113944,"145,493.00","45,358,427.07"
1.29,XPEV,XPENG INC - ADR,BMXR2T4,13.08,"3,463,657.00","45,304,633.56"
1.16,PATH,UIPATH INC - CLASS A,BMD02L5,11.71,"3,468,571.00","40,616,966.41"
1.15,SYM,SYMBOTIC INC,BPG82M8,42.73999999999999,"947,274.00","40,486,490.76"
1.10,9880 HK,UBTECH ROBOTICS CORP LTD-H,BR4VSK3,11.80678188585327,"3,272,227.00","38,634,470.47"
1.03,RSW LN,RENISHAW PLC,0732358,65.63691072493707,"549,896.00","36,093,474.66"
0.96,002747 C2,ESTUN AUTOMATION CO LTD-A,BFCCQJ9,5.995786745165654,"5,621,134.00","33,703,120.73"
0.94,AUTO NO,AUTOSTORE HOLDINGS LTD,BN49G27,1.276812036058572,"25,901,303.00","33,071,095.42"
0.76,688297 C1,AVIC CHENGDU UAS CO LTD-A,BNTXRV0,6.126898543425942,"4,364,488.00","26,740,775.17"
0.15,6104 JP,"SHIBAURA MACHINE CO., LTD",6897262,28.53239778243483,"187,052.00","5,337,042.07"
0.13,6258 JP,HIRATA CORP,B1GZ9S6,19.06299480591049,"243,161.00","4,635,376.88"
0.13,"",OTHER PAYABLE & RECEIVABLES,"",1.0,"4,534,338.32","4,534,338.32"
0.11,388720 KS,YUIL ROBOTICS CO LTD,BPJGTG2,43.58166739808032,"88,869.00","3,873,059.20"
0.11,090360 KS,ROBOSTAR CO LTD,B5LTV29,51.35951665986672,"73,530.00","3,776,465.26"
0.10,CRNC,CERENCE INC,BJNPYY6,10.71,"339,245.00","3,633,313.95"
0.10,SERV,SERVE ROBOTICS INC,BPBJW48,6.31,"561,225.00","3,541,329.75"
0.08,2431 HK,MINIEYE TECHNOLOGY CO LTD-H,BMYRRN2,1.119476729132537,"2,502,700.00","2,801,714.41"
0.08,RR,RICHTECH ROBOTICS INC-CL B,BNV0DF5,1.96,"1,383,489.00","2,711,638.44"
0.07,EH,EHANG HOLDINGS LTD-SPS ADR,BJBYDW6,6.31,"395,378.00","2,494,835.18"
0.07,2121 HK,AINNOVATION TECHNOLOGY GRO-H,BMDWT54,0.5355127852916315,"4,258,800.00","2,280,641.85"
0.04,455900 KS,ANGEL ROBOTICS CO LTD,BRC2TP0,12.27743138406515,"114,077.00","1,400,572.54"
0.00,1274 HK,IMOTION AUTOMOTIVE TECHNOL-H,BP2FFJ1,0.4908867331288344,"130,400.00","64,011.63"
0.00,"",BRITISH STERLING POUND,"",1.0,0.01,0.01
-0.00,"",JAPANESE YEN,"",0.006209443267258171,"-3,084,568.00","-19,153.45"
-0.00,"",KOREAN WON,"",0.0006427974131746008,"-81,850,905.00","-52,613.55"
-0.00,"",HONG KONG DOLLAR,"",0.1275030439326166,"-868,013.63","-110,674.38"
-0.01,"",CHINESE YUAN RENMINBI,"",0.1473166309272231,"-1,289,676.86","-189,990.85"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works."
