Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","349,923,150.85","7.02","349,923,150.85","1,133,795.00","308.63","United States","NASDAQ","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","347,343,313.66","6.96","347,343,313.66","1,782,802.00","194.83","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","212,733,485.14","4.27","212,733,485.14","544,786.00","390.49","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","181,391,456.94","3.64","181,391,456.94","747,482.00","242.67","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","161,822,374.29","3.24","161,822,374.29","449,619.00","359.91","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","127,143,437.52","2.55","127,143,437.52","356,964.00","356.18","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","125,204,830.65","2.51","125,204,830.65","347,357.00","360.45","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","98,854,011.00","1.98","98,854,011.00","169,590.00","582.90","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","85,511,636.10","1.71","85,511,636.10","217,338.00","393.45","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","84,971,276.00","1.70","84,971,276.00","87,100.00","975.56","United States","NASDAQ","USD"
"LLY","ELI LILLY","Health Care","Equity","75,286,698.20","1.51","75,286,698.20","62,020.00","1,213.91","United States","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","69,379,446.57","1.39","69,379,446.57","207,431.00","334.47","United States","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","65,195,609.28","1.31","65,195,609.28","125,904.00","517.82","United States","NASDAQ","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","54,538,110.90","1.09","54,538,110.90","107,405.00","507.78","United States","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","48,928,333.44","0.98","48,928,333.44","186,011.00","263.04","United States","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Equity","47,016,424.29","0.94","47,016,424.29","129,833.00","362.13","United States","New York Stock Exchange Inc.","USD"
"XOM","EXXONMOBIL HOLDINGS CORP","Other","Equity","44,146,407.25","0.89","44,146,407.25","322,025.00","137.09","United States","New York Stock Exchange Inc.","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","41,300,990.90","0.83","41,300,990.90","343,174.00","120.35","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","37,872,491.04","0.76","37,872,491.04","338,631.00","111.84","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","36,953,688.16","0.74","36,953,688.16","61,279.00","603.04","United States","NASDAQ","USD"
"ABBV","ABBVIE INC","Health Care","Equity","35,659,029.16","0.71","35,659,029.16","136,588.00","261.07","United States","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrials","Equity","34,425,963.37","0.69","34,425,963.37","35,729.00","963.53","United States","New York Stock Exchange Inc.","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","34,168,284.14","0.69","34,168,284.14","303,206.00","112.69","United States","NASDAQ","USD"
"MA","MASTERCARD INC CLASS A","Financials","Equity","34,112,102.38","0.68","34,112,102.38","63,242.00","539.39","United States","New York Stock Exchange Inc.","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","33,689,325.29","0.68","33,689,325.29","95,869.00","351.41","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","32,341,553.28","0.65","32,341,553.28","33,984.00","951.67","United States","NASDAQ","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","30,662,698.08","0.61","30,662,698.08","522,096.00","58.73","United States","New York Stock Exchange Inc.","USD"
"GE","GE AEROSPACE","Industrials","Equity","30,340,149.84","0.61","30,340,149.84","80,367.00","377.52","United States","New York Stock Exchange Inc.","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","29,915,568.80","0.60","29,915,568.80","70,330.00","425.36","United States","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","27,549,710.40","0.55","27,549,710.40","76,976.00","357.90","United States","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","27,031,075.89","0.54","27,031,075.89","178,529.00","151.41","United States","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Communication","Equity","25,216,371.60","0.51","25,216,371.60","324,744.00","77.65","United States","NASDAQ","USD"
"KO","COCA-COLA","Consumer Staples","Equity","25,171,995.52","0.50","25,171,995.52","299,168.00","84.14","United States","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Health Care","Equity","24,619,898.12","0.49","24,619,898.12","190,027.00","129.56","United States","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energy","Equity","24,117,260.40","0.48","24,117,260.40","142,537.00","169.20","United States","New York Stock Exchange Inc.","USD"
"KLAC","KLA CORP","Information Technology","Equity","23,685,259.15","0.47","23,685,259.15","100,553.00","235.55","United States","NASDAQ","USD"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","23,467,685.00","0.47","23,467,685.00","22,985.00","1,021.00","United States","New York Stock Exchange Inc.","USD"
"GEV","GE VERNOVA INC","Industrials","Equity","23,413,155.74","0.47","23,413,155.74","21,034.00","1,113.11","United States","New York Stock Exchange Inc.","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","21,953,188.38","0.44","21,953,188.38","63,073.00","348.06","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","21,746,708.40","0.44","21,746,708.40","168,188.00","129.30","United States","NASDAQ","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","21,744,628.73","0.44","21,744,628.73","119,299.00","182.27","United States","New York Stock Exchange Inc.","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","20,749,029.84","0.42","20,749,029.84","71,667.00","289.52","United States","New York Stock Exchange Inc.","USD"
"RTX","RTX CORP","Industrials","Equity","20,710,443.50","0.42","20,710,443.50","103,942.00","199.25","United States","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","20,419,469.76","0.41","20,419,469.76","69,672.00","293.08","United States","NASDAQ","USD"
"WFC","WELLS FARGO","Financials","Equity","20,407,645.58","0.41","20,407,645.58","238,658.00","85.51","United States","New York Stock Exchange Inc.","USD"
"LIN","LINDE PLC","Materials","Equity","19,557,685.92","0.39","19,557,685.92","35,778.00","546.64","United States","NASDAQ","USD"
"MS","MORGAN STANLEY","Financials","Equity","19,452,654.90","0.39","19,452,654.90","90,930.00","213.93","United States","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","Information Technology","Equity","18,553,933.71","0.37","18,553,933.71","132,273.00","140.27","United States","New York Stock Exchange Inc.","USD"
"C","CITIGROUP INC","Financials","Equity","18,437,408.28","0.37","18,437,408.28","131,724.00","139.97","United States","New York Stock Exchange Inc.","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","16,138,119.68","0.32","16,138,119.68","65,792.00","245.29","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","15,618,143.45","0.31","15,618,143.45","41,743.00","374.15","United States","NASDAQ","USD"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","15,493,185.88","0.31","15,493,185.88","94,132.00","164.59","United States","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","15,306,121.46","0.31","15,306,121.46","54,542.00","280.63","United States","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","15,142,090.46","0.30","15,142,090.46","104,993.00","144.22","United States","NASDAQ","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","15,105,431.52","0.30","15,105,431.52","28,858.00","523.44","United States","New York Stock Exchange Inc.","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","14,965,169.04","0.30","14,965,169.04","77,148.00","193.98","United States","NASDAQ","USD"
"AXP","AMERICAN EXPRESS","Financials","Equity","14,764,370.04","0.30","14,764,370.04","41,949.00","351.96","United States","New York Stock Exchange Inc.","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","14,548,203.75","0.29","14,548,203.75","82,543.00","176.25","United States","NASDAQ","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","14,506,107.00","0.29","14,506,107.00","26,913.00","539.00","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","14,232,886.92","0.29","14,232,886.92","37,737.00","377.16","United States","NASDAQ","USD"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","14,037,844.38","0.28","14,037,844.38","158,907.00","88.34","United States","New York Stock Exchange Inc.","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","13,839,379.84","0.28","13,839,379.84","16,874.00","820.16","United States","NASDAQ","USD"
"DIS","WALT DISNEY","Communication","Equity","13,698,762.00","0.27","13,698,762.00","137,676.00","99.50","United States","New York Stock Exchange Inc.","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","13,525,057.28","0.27","13,525,057.28","317,788.00","42.56","United States","New York Stock Exchange Inc.","USD"
"BA","BOEING","Industrials","Equity","13,455,091.43","0.27","13,455,091.43","59,407.00","226.49","United States","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Consumer Discretionary","Equity","13,231,805.76","0.27","13,231,805.76","85,776.00","154.26","United States","New York Stock Exchange Inc.","USD"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","12,925,912.08","0.26","12,925,912.08","80,792.00","159.99","United States","New York Stock Exchange Inc.","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","12,924,124.20","0.26","12,924,124.20","135,473.00","95.40","United States","New York Stock Exchange Inc.","USD"
"WELL","WELLTOWER INC","Real Estate","Equity","12,919,091.68","0.26","12,919,091.68","54,728.00","236.06","United States","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industrials","Equity","12,711,411.00","0.25","12,711,411.00","45,036.00","282.25","United States","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","12,623,317.01","0.25","12,623,317.01","96,163.00","131.27","United States","NASDAQ","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","12,477,110.00","0.25","12,477,110.00","128,630.00","97.00","United States","New York Stock Exchange Inc.","USD"
"GLW","CORNING INC","Information Technology","Equity","12,211,803.45","0.24","12,211,803.45","62,055.00","196.79","United States","New York Stock Exchange Inc.","USD"
"ETN","EATON PLC","Industrials","Equity","12,052,440.36","0.24","12,052,440.36","30,243.00","398.52","United States","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","11,701,642.68","0.23","11,701,642.68","27,468.00","426.01","United States","NASDAQ","USD"
"DE","DEERE","Industrials","Equity","11,664,965.52","0.23","11,664,965.52","18,776.00","621.27","United States","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","11,257,421.76","0.23","11,257,421.76","60,996.00","184.56","United States","NASDAQ","USD"
"T","AT&T INC","Communication","Equity","11,157,961.50","0.22","11,157,961.50","542,175.00","20.58","United States","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financials","Equity","11,032,688.40","0.22","11,032,688.40","11,080.00","995.73","United States","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Health Care","Equity","10,751,580.16","0.22","10,751,580.16","442,088.00","24.32","United States","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financials","Equity","10,437,709.92","0.21","10,437,709.92","23,728.00","439.89","United States","New York Stock Exchange Inc.","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","10,423,509.60","0.21","10,423,509.60","19,740.00","528.04","United States","NASDAQ","USD"
