Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,312,181,795.41","19.46","1,312,181,795.41","17,003,800.00","77.17","Taiwan","Taiwan Stock Exchange","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","594,035,622.55","8.81","594,035,622.55","3,231,263.00","183.84","Korea (South)","Korea Exchange (Stock Market)","KRW"
"000660","SK HYNIX INC","Information Technology","Equity","536,545,312.08","7.96","536,545,312.08","381,666.00","1,405.80","Korea (South)","Korea Exchange (Stock Market)","KRW"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Financials","Equity","323,518,775.51","4.80","323,518,775.51","6,635,602.00","48.76","Germany","Xetra","USD"
"2454","MEDIATEK INC","Information Technology","Equity","135,304,735.07","2.01","135,304,735.07","994,700.00","136.03","Taiwan","Taiwan Stock Exchange","TWD"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","82,796,431.09","1.23","82,796,431.09","1,342,500.00","61.67","Taiwan","Taiwan Stock Exchange","TWD"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","67,023,372.57","0.99","67,023,372.57","552,561.00","121.30","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","65,047,171.36","0.96","65,047,171.36","7,796,221.00","8.34","India","National Stock Exchange Of India","INR"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","63,791,694.45","0.95","63,791,694.45","8,525,800.00","7.48","Taiwan","Taiwan Stock Exchange","TWD"
"402340","SK SQUARE LTD","Industrials","Equity","62,356,688.31","0.92","62,356,688.31","63,612.00","980.27","Korea (South)","Korea Exchange (Stock Market)","KRW"
