,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
1,ASML HOLDING NV,NL0010273215,Netherlands,EUR,Euronext Amsterdam,Equities,Baa2,Amsterdam Exchanges Index,Information Technology,2.91%
2,HSBC HOLDINGS PLC,GB0005405286,United Kingdom,GBP,London Stock Exchange,Equities,Aa3,FTSE 100 Index,Financials,1.32%
3,ROCHE PS PAR AG,CH1499059983,Switzerland,CHF,-,Equities,-,Swiss Market Index,Health Care,1.20%
4,ASTRAZENECA PLC,GB0009895292,United Kingdom,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Health Care,1.16%
5,ROYAL BANK OF CANADA,CA7800871021,Canada,CAD,Toronto Stock Exchange,Equities,Aa3,S&P/TSX COMPOSITE Index,Financials,1.16%
6,NOVARTIS AG,CH0012005267,Switzerland,CHF,Scoach Switzerland,Equities,Aa3,Swiss Market Index,Health Care,1.16%
7,NESTLE SA,CH0038863350,Switzerland,CHF,Scoach Switzerland,Equities,Aa2,Swiss Market Index,Consumer Staples,1.09%
8,SIEMENS N AG,DE0007236101,Germany,EUR,XETRA,Equities,Aa3,DAX Index,Industrials,0.93%
9,SHELL PLC,GB00BP6MXD84,Netherlands,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Energy,0.88%
10,MITSUBISHI UFJ FINANCIAL GROUP INC,JP3902900004,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Financials,0.86%
11,BHP GROUP LTD,AU000000BHP4,Australia,AUD,Australian Stock Exchange,Equities,A1,ASX All Ordinaries Index,Materials,0.85%
12,TOKYO ELECTRON LTD,JP3571400005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.84%
13,TORONTO DOMINION,CA8911605092,Canada,CAD,Toronto Stock Exchange,Equities,Aa1,S&P/TSX COMPOSITE Index,Financials,0.81%
14,BANCO SANTANDER SA,ES0113900J37,Spain,EUR,Mercado Continuo Espana,Equities,Baa1,IBEX 35 Index,Financials,0.79%
15,COMMONWEALTH BANK OF AUSTRALIA,AU000000CBA7,Australia,AUD,Australian Stock Exchange,Equities,Aa2,ASX All Ordinaries Index,Financials,0.77%
16,ALLIANZ,DE0008404005,Germany,EUR,XETRA,Equities,Aa3,DAX Index,Financials,0.72%
17,SCHNEIDER ELECTRIC,FR0000121972,France,EUR,Euronext Paris,Equities,A3,CAC 40 Index,Industrials,0.71%
18,KIOXIA HOLDINGS CORP,JP3236330001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.70%
19,0,IE00BYQNZ507,-,USD,-,Equities,-,-,unknown,0.69%
20,ABB LTD,CH0012221716,Switzerland,CHF,Scoach Switzerland,Equities,A2,Swiss Market Index,Industrials,0.67%
21,SAP,DE0007164600,Germany,EUR,XETRA,Equities,-,DAX Index,Information Technology,0.66%
22,TOYOTA MOTOR CORP,JP3633400001,Japan,JPY,Tokyo Stock Exchange,Equities,Aa3,TOPIX Index,Consumer Discretionary,0.66%
23,ROLLS-ROYCE HOLDINGS PLC,GB00B63H8491,United Kingdom,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Industrials,0.64%
24,UBS GROUP AG,CH0244767585,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Financials,0.64%
25,TOTALENERGIES,FR0000120271,France,EUR,Euronext Paris,Equities,Aa1,CAC 40 Index,Energy,0.63%
26,NOVO NORDISK CLASS B,DK0062498333,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,-,Health Care,0.63%
27,IBERDROLA SA,ES0144580Y14,Spain,EUR,Mercado Continuo Espana,Equities,Baa1,IBEX 35 Index,Utilities,0.62%
28,ADVANTEST CORP,JP3122400009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.59%
29,SUMITOMO MITSUI FINANCIAL GROUP IN,JP3890350006,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Financials,0.58%
30,SHOPIFY SUBORDINATE VOTING INC CLA,CA82509L1076,Canada,CAD,New York Stock Exchange,Equities,-,S&P 500 Index,Information Technology,0.57%
31,LVMH,FR0000121014,France,EUR,Euronext Paris,Equities,A1,CAC 40 Index,Consumer Discretionary,0.57%
32,SIEMENS ENERGY N AG,DE000ENER6Y0,Germany,EUR,-,Equities,-,DAX Index,Industrials,0.57%
33,BANCO BILBAO VIZCAYA ARGENTARIA SA,ES0113211835,Spain,EUR,Mercado Continuo Espana,Equities,Baa2,IBEX 35 Index,Financials,0.56%
34,SOFTBANK GROUP CORP,JP3436100006,Japan,JPY,Tokyo Stock Exchange,Equities,Ba1,TOPIX Index,Communication Services,0.55%
35,SAFRAN SA,FR0000073272,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Industrials,0.54%
