Fund Holdings as of,"06/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"700","TENCENT HOLDINGS LTD","Communication","Equity","390,765,491.92","14.59","390,765,491.92","6,780,300.00","57.63","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","225,658,329.22","8.42","225,658,329.22","18,444,952.00","12.23","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","92,763,082.06","3.46","92,763,082.06","92,678,000.00","1.00","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","58,706,913.35","2.19","58,706,913.35","71,606,000.00","0.82","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1810","XIAOMI CORP","Information Technology","Equity","56,080,614.07","2.09","56,080,614.07","18,893,000.00","2.97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3690","MEITUAN","Consumer Discretionary","Equity","53,083,881.27","1.98","53,083,881.27","5,554,720.00","9.56","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","52,280,305.58","1.95","52,280,305.58","624,317.00","83.74","China","NASDAQ","USD"
"9999","NETEASE INC","Communication","Equity","51,396,768.25","1.92","51,396,768.25","1,934,235.00","26.57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","48,360,027.67","1.81","48,360,027.67","7,176,500.00","6.74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3988","BANK OF CHINA LTD H","Financials","Equity","45,221,762.64","1.69","45,221,762.64","73,582,000.00","0.61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1211","BYD LTD H","Consumer Discretionary","Equity","43,301,866.68","1.62","43,301,866.68","4,052,600.00","10.68","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","33,902,132.02","1.27","33,902,132.02","2,520,262.00","13.45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9888","BAIDU CLASS A INC","Communication","Equity","32,422,369.31","1.21","32,422,369.31","2,301,196.00","14.09","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","30,811,791.71","1.15","30,811,791.71","8,186,000.00","3.76","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9961","TRIP.COM GROUP LTD","Consumer Discretionary","Equity","26,870,311.19","1.00","26,870,311.19","647,629.00","41.49","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"857","PETROCHINA LTD H","Energy","Equity","26,436,438.52","0.99","26,436,438.52","23,270,000.00","1.14","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","26,271,841.69","0.98","26,271,841.69","6,604,000.00","3.98","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","24,117,815.07","0.90","24,117,815.07","4,170,000.00","5.78","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"992","LENOVO GROUP LTD","Information Technology","Equity","21,386,632.33","0.80","21,386,632.33","8,198,000.00","2.61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6160","BEONE MEDICINES AG","Health Care","Equity","21,342,106.45","0.80","21,342,106.45","878,645.00","24.29","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","20,038,876.42","0.75","20,038,876.42","29,653,000.00","0.68","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","19,362,477.69","0.72","19,362,477.69","3,702,000.00","5.23","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","18,710,103.53","0.70","18,710,103.53","3,882,000.00","4.82","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1347","HUA HONG GRACE SEMICONDUCTOR LTD","Information Technology","Equity","18,292,956.60","0.68","18,292,956.60","806,000.00","22.70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","18,193,395.50","0.68","18,193,395.50","142,687,162.00","12.75","Hong Kong","-","HKD"
"1801","INNOVENT BIOLOGICS INC","Health Care","Equity","18,185,851.99","0.68","18,185,851.99","1,576,000.00","11.54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","16,998,174.12","0.63","16,998,174.12","7,152,000.00","2.38","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1024","KUAISHOU TECHNOLOGY","Communication","Equity","16,447,340.24","0.61","16,447,340.24","2,804,200.00","5.87","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Industrials","Equity","16,370,377.93","0.61","16,370,377.93","192,200.00","85.17","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"300750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Industrials","Equity","15,985,244.79","0.60","15,985,244.79","290,181.00","55.09","China","Shenzhen Stock Exchange","CNY"
"9987","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","15,730,469.07","0.59","15,730,469.07","367,613.00","42.79","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","14,629,378.95","0.55","14,629,378.95","82,407.00","177.53","China","Shanghai Stock Exchange","CNY"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Equity","14,359,973.48","0.54","14,359,973.48","7,584,000.00","1.89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","13,076,541.54","0.49","13,076,541.54","1,376,600.00","9.50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","12,952,210.95","0.48","12,952,210.95","24,776,000.00","0.52","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1109","CHINA RESOURCES LAND LTD","Real Estate","Equity","12,837,067.12","0.48","12,837,067.12","3,132,500.00","4.10","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"300308","ZHONGJI INNOLIGHT LTD A","Information Technology","Equity","11,854,790.49","0.44","11,854,790.49","73,340.00","161.64","China","Shenzhen Stock Exchange","CNY"
"2423","KE HOLDINGS INC","Real Estate","Equity","11,232,419.68","0.42","11,232,419.68","2,205,649.00","5.09","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9992","POP MART INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","10,790,322.33","0.40","10,790,322.33","554,200.00","19.47","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1888","KINGBOARD LAMINATES HOLDINGS LTD","Information Technology","Equity","10,560,357.91","0.39","10,560,357.91","1,121,500.00","9.42","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","10,425,248.13","0.39","10,425,248.13","2,891,200.00","3.61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9633","NONGFU SPRING LTD H","Consumer Staples","Equity","10,334,682.51","0.39","10,334,682.51","1,951,200.00","5.30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2338","WEICHAI POWER LTD H","Industrials","Equity","10,226,857.75","0.38","10,226,857.75","2,140,000.00","4.78","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2057","ZTO EXPRESS (CAYMAN) INC","Industrials","Equity","9,752,517.72","0.36","9,752,517.72","417,962.00","23.33","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1378","CHINA HONGQIAO GROUP LTD","Materials","Equity","9,705,812.97","0.36","9,705,812.97","3,540,500.00","2.74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6869","YANGTZE OPTICAL FIBRE AND CABLE JO","Information Technology","Equity","9,687,165.30","0.36","9,687,165.30","443,000.00","21.87","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9866","NIO CLASS A INC","Consumer Discretionary","Equity","9,561,414.09","0.36","9,561,414.09","1,938,683.00","4.93","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1093","CSPC PHARMACEUTICAL GROUP LTD","Health Care","Equity","9,243,859.44","0.35","9,243,859.44","8,808,960.00","1.05","China","Hong Kong Exchanges And Clearing Ltd","HKD"
