Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","178,183,234.68","8.00","178,183,234.68","1,301,938.00","136.86","United States","New York Stock Exchange Inc.","USD"
"XYL","XYLEM INC","Industrials","Equity","163,867,285.40","7.35","163,867,285.40","1,387,295.00","118.12","United States","New York Stock Exchange Inc.","USD"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Utilities","Equity","161,915,089.46","7.27","161,915,089.46","28,123,747.00","5.76","Brazil","XBSP","BRL"
"WTRG","ESSENTIAL UTILITIES INC","Utilities","Equity","130,044,377.10","5.84","130,044,377.10","3,302,295.00","39.38","United States","New York Stock Exchange Inc.","USD"
"VLTO","VERALTO CORP","Industrials","Equity","121,065,302.85","5.43","121,065,302.85","1,308,107.00","92.55","United States","New York Stock Exchange Inc.","USD"
"UU.","UNITED UTILITIES GROUP PLC","Utilities","Equity","94,267,503.72","4.23","94,267,503.72","5,276,069.00","17.87","United Kingdom","London Stock Exchange","GBP"
"ECL","ECOLAB INC","Materials","Equity","91,962,504.48","4.13","91,962,504.48","324,543.00","283.36","United States","New York Stock Exchange Inc.","USD"
"SVT","SEVERN TRENT PLC","Utilities","Equity","88,693,222.24","3.98","88,693,222.24","2,224,015.00","39.88","United Kingdom","London Stock Exchange","GBP"
"WMS","ADVANCED DRAINAGE SYSTEMS INC","Industrials","Equity","76,606,803.28","3.44","76,606,803.28","503,396.00","152.18","United States","New York Stock Exchange Inc.","USD"
"GEBN","GEBERIT AG","Industrials","Equity","74,259,225.62","3.33","74,259,225.62","110,802.00","670.20","Switzerland","SIX Swiss Exchange","CHF"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","71,004,105.90","3.19","71,004,105.90","192,658.00","368.55","United States","New York Stock Exchange Inc.","USD"
