Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ASML","ASML HOLDING NV","Information Technology","Equity","776,727,273.00","4.90","776,727,273.00","492,285.00","1,577.80","Netherlands","Euronext Amsterdam","EUR"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","368,100,018.29","2.32","368,100,018.29","21,793,787.00","16.89","United Kingdom","London Stock Exchange","GBP"
"ROP","ROCHE PS PAR AG","Health Care","Equity","331,388,800.90","2.09","331,388,800.90","891,056.00","371.91","Switzerland","SIX Swiss Exchange","CHF"
"AZN","ASTRAZENECA PLC","Health Care","Equity","324,809,977.64","2.05","324,809,977.64","1,911,699.00","169.91","United Kingdom","London Stock Exchange","GBP"
"NOVN","NOVARTIS AG","Health Care","Equity","323,823,380.34","2.04","323,823,380.34","2,322,674.00","139.42","Switzerland","SIX Swiss Exchange","CHF"
"NESN","NESTLE SA","Consumer Staples","Equity","300,535,133.36","1.90","300,535,133.36","3,267,785.00","91.97","Switzerland","SIX Swiss Exchange","CHF"
"SIE","SIEMENS N AG","Industrials","Equity","260,899,610.40","1.65","260,899,610.40","942,216.00","276.90","Germany","Xetra","EUR"
"SHEL","SHELL PLC","Energy","Equity","241,316,498.95","1.52","241,316,498.95","7,122,519.00","33.88","United Kingdom","London Stock Exchange","GBP"
"SAN","BANCO SANTANDER SA","Financials","Equity","223,259,520.91","1.41","223,259,520.91","18,118,773.00","12.32","Spain","Bolsa De Madrid","EUR"
"ALV","ALLIANZ","Financials","Equity","201,870,887.20","1.27","201,870,887.20","482,483.00","418.40","Germany","Xetra","EUR"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","191,850,651.70","1.21","191,850,651.70","695,363.00","275.90","France","Nyse Euronext - Euronext Paris","EUR"
"SAP","SAP","Information Technology","Equity","187,692,409.08","1.18","187,692,409.08","1,324,389.00","141.72","Germany","Xetra","EUR"
"ABBN","ABB LTD","Industrials","Equity","183,834,945.05","1.16","183,834,945.05","1,987,815.00","92.48","Switzerland","SIX Swiss Exchange","CHF"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","183,653,061.36","1.16","183,653,061.36","10,652,268.00","17.24","United Kingdom","London Stock Exchange","GBP"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","181,426,896.05","1.14","181,426,896.05","4,084,695.00","44.42","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"UBSG","UBS GROUP AG","Financials","Equity","179,991,021.77","1.14","179,991,021.77","4,026,202.00","44.71","Switzerland","SIX Swiss Exchange","CHF"
"TTE","TOTALENERGIES","Energy","Equity","167,064,969.28","1.05","167,064,969.28","2,497,981.00","66.88","France","Nyse Euronext - Euronext Paris","EUR"
"IBE","IBERDROLA SA","Utilities","Equity","165,693,304.68","1.04","165,693,304.68","7,713,841.00","21.48","Spain","Bolsa De Madrid","EUR"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","162,987,960.22","1.03","162,987,960.22","982,921.00","165.82","Germany","Xetra","EUR"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","160,346,703.00","1.01","160,346,703.00","7,145,575.00","22.44","Spain","Bolsa De Madrid","EUR"
"MC","LVMH","Consumer Discretionary","Equity","157,156,505.65","0.99","157,156,505.65","315,607.00","497.95","France","Nyse Euronext - Euronext Paris","EUR"
"SAF","SAFRAN SA","Industrials","Equity","155,187,378.30","0.98","155,187,378.30","439,251.00","353.30","France","Nyse Euronext - Euronext Paris","EUR"
"AIR","AIRBUS GROUP","Industrials","Equity","153,666,380.40","0.97","153,666,380.40","753,636.00","203.90","France","Nyse Euronext - Euronext Paris","EUR"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","150,144,608.84","0.95","150,144,608.84","2,771,157.00","54.18","United Kingdom","London Stock Exchange","GBP"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","145,489,643.72","0.92","145,489,643.72","808,186.00","180.02","France","Nyse Euronext - Euronext Paris","EUR"
"UCG","UNICREDIT","Financials","Equity","141,488,476.24","0.89","141,488,476.24","1,727,998.00","81.88","Italy","Borsa Italiana","EUR"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","137,933,589.32","0.87","137,933,589.32","2,546,882.00","54.16","United Kingdom","London Stock Exchange","GBP"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","135,732,220.10","0.86","135,732,220.10","681,812.00","199.08","Switzerland","SIX Swiss Exchange","CHF"
"BNP","BNP PARIBAS SA","Financials","Equity","128,661,056.16","0.81","128,661,056.16","1,257,438.00","102.32","France","Nyse Euronext - Euronext Paris","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","126,457,894.20","0.80","126,457,894.20","1,656,292.00","76.35","Germany","Xetra","EUR"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","125,391,898.35","0.79","125,391,898.35","189,750.00","660.83","Switzerland","SIX Swiss Exchange","CHF"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","120,504,581.42","0.76","120,504,581.42","5,145,181.00","23.42","United Kingdom","London Stock Exchange","GBP"
"OR","LOREAL SA","Consumer Staples","Equity","118,187,803.65","0.75","118,187,803.65","304,647.00","387.95","France","Nyse Euronext - Euronext Paris","EUR"
"RIO","RIO TINTO PLC","Materials","Equity","111,961,163.07","0.71","111,961,163.07","1,352,906.00","82.76","United Kingdom","London Stock Exchange","GBP"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","109,306,885.60","0.69","109,306,885.60","4,354,856.00","25.10","Germany","Xetra","EUR"
"ISP","INTESA SANPAOLO","Financials","Equity","108,164,946.91","0.68","108,164,946.91","17,668,237.00","6.12","Italy","Borsa Italiana","EUR"
"BP.","BP PLC","Energy","Equity","108,078,997.54","0.68","108,078,997.54","19,913,331.00","5.43","United Kingdom","London Stock Exchange","GBP"
"BARC","BARCLAYS PLC","Financials","Equity","105,895,782.93","0.67","105,895,782.93","17,354,807.00","6.10","United Kingdom","London Stock Exchange","GBP"
"INGA","ING GROEP NV","Financials","Equity","104,559,996.03","0.66","104,559,996.03","3,703,861.00","28.23","Netherlands","Euronext Amsterdam","EUR"
"SAN","SANOFI SA","Health Care","Equity","104,120,640.75","0.66","104,120,640.75","1,383,663.00","75.25","France","Nyse Euronext - Euronext Paris","EUR"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","99,523,253.28","0.63","99,523,253.28","74,275,455.00","1.34","United Kingdom","London Stock Exchange","GBP"
"ENEL","ENEL","Utilities","Equity","97,848,688.97","0.62","97,848,688.97","9,670,754.00","10.12","Italy","Borsa Italiana","EUR"
"NG.","NATIONAL GRID PLC","Utilities","Equity","90,674,660.52","0.57","90,674,660.52","6,307,767.00","14.38","United Kingdom","London Stock Exchange","GBP"
