Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"CTVA","CORTEVA INC","Materials","Equity","41,796,268.80","9.16","41,796,268.80","487,136.00","85.80","United States","New York Stock Exchange Inc.","USD"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","34,268,305.40","7.51","34,268,305.40","446,260.00","76.79","United States","New York Stock Exchange Inc.","USD"
"DE","DEERE","Industrials","Equity","30,178,190.25","6.62","30,178,190.25","48,575.00","621.27","United States","New York Stock Exchange Inc.","USD"
"NTR","NUTRIEN LTD","Materials","Equity","27,123,840.76","5.95","27,123,840.76","417,334.00","64.99","Canada","Toronto Stock Exchange","CAD"
"CF","CF INDUSTRIES HOLDINGS INC","Materials","Equity","26,844,528.46","5.88","26,844,528.46","242,849.00","110.54","United States","New York Stock Exchange Inc.","USD"
"BG","BUNGE GLOBAL SA","Consumer Staples","Equity","23,145,575.06","5.07","23,145,575.06","217,411.00","106.46","United States","New York Stock Exchange Inc.","USD"
"TSN","TYSON FOODS INC CLASS A","Consumer Staples","Equity","21,406,161.66","4.69","21,406,161.66","363,494.00","58.89","United States","New York Stock Exchange Inc.","USD"
"6326","KUBOTA CORP","Industrials","Equity","19,651,550.76","4.31","19,651,550.76","1,179,789.00","16.66","Japan","Tokyo Stock Exchange","JPY"
"288","WH GROUP LTD","Consumer Staples","Equity","13,982,206.59","3.06","13,982,206.59","12,840,954.00","1.09","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"1211","SAUDI ARABIAN MINING","Materials","Equity","12,659,554.72","2.77","12,659,554.72","807,009.00","15.69","Saudi Arabia","Saudi Stock Exchange","SAR"
"CNH","CNH INDUSTRIAL N.V. NV","Industrials","Equity","11,612,954.56","2.55","11,612,954.56","1,083,298.00","10.72","United States","New York Stock Exchange Inc.","USD"
"DAR","DARLING INGREDIENTS INC","Consumer Staples","Equity","11,055,119.86","2.42","11,055,119.86","195,562.00","56.53","United States","New York Stock Exchange Inc.","USD"
"MOS","MOSAIC","Materials","Equity","11,018,978.05","2.42","11,018,978.05","521,485.00","21.13","United States","New York Stock Exchange Inc.","USD"
"YAR","YARA INTERNATIONAL","Materials","Equity","9,869,688.52","2.16","9,869,688.52","224,222.00","44.02","Norway","Oslo Bors Asa","NOK"
"MOWI","MOWI","Consumer Staples","Equity","9,458,734.37","2.07","9,458,734.37","500,245.00","18.91","Norway","Oslo Bors Asa","NOK"
"F34","WILMAR INTERNATIONAL LTD","Consumer Staples","Equity","8,716,511.23","1.91","8,716,511.23","3,042,298.00","2.87","Singapore","Singapore Exchange","SGD"
"AGCO","AGCO CORP","Industrials","Equity","8,614,784.97","1.89","8,614,784.97","73,953.00","116.49","United States","New York Stock Exchange Inc.","USD"
"2020","SABIC AGRI-NUTRIENTS","Materials","Equity","8,067,291.02","1.77","8,067,291.02","245,464.00","32.87","Saudi Arabia","Saudi Stock Exchange","SAR"
"CALM","CAL MAINE FOODS INC","Consumer Staples","Equity","6,126,584.10","1.34","6,126,584.10","73,066.00","83.85","United States","NASDAQ","USD"
"UPL","UPL LTD","Materials","Equity","5,641,612.74","1.24","5,641,612.74","914,085.00","6.17","India","National Stock Exchange Of India","INR"
"SALM","SALMAR","Consumer Staples","Equity","4,531,194.51","0.99","4,531,194.51","96,354.00","47.03","Norway","Oslo Bors Asa","NOK"
"2282","NH FOODS LTD","Consumer Staples","Equity","4,380,616.00","0.96","4,380,616.00","115,956.00","37.78","Japan","Tokyo Stock Exchange","JPY"
"2002","NISSHIN SEIFUN GROUP INC","Consumer Staples","Equity","4,255,338.26","0.93","4,255,338.26","346,900.00","12.27","Japan","Tokyo Stock Exchange","JPY"
"1332","NISSUI CORP","Consumer Staples","Equity","4,074,190.44","0.89","4,074,190.44","512,600.00","7.95","Japan","Tokyo Stock Exchange","JPY"
"002714","MUYUAN FOODS GROUP LTD A","Consumer Staples","Equity","3,945,682.14","0.86","3,945,682.14","717,100.00","5.50","China","Shenzhen Stock Exchange","CNY"
"MBRF3","MARFRIG GLOBAL FOODS SA","Consumer Staples","Equity","3,824,784.10","0.84","3,824,784.10","1,172,994.00","3.26","Brazil","XBSP","BRL"
"ANDE","ANDERSONS INC","Consumer Staples","Equity","3,669,771.30","0.80","3,669,771.30","55,351.00","66.30","United States","NASDAQ","USD"
"CPF.R","CHAROEN POKPHAND FOODS NON-VOTING","Consumer Staples","Equity","3,362,650.35","0.74","3,362,650.35","5,516,900.00","0.61","Thailand","Stock Exchange Of Thailand","THB"
"COROMANDEL","COROMANDEL INTERNATIONAL LTD","Materials","Equity","3,311,202.10","0.73","3,311,202.10","157,436.00","21.03","India","National Stock Exchange Of India","INR"
"000792","QINGHAI SALT LAKE INDUSTRY LTD A","Materials","Equity","3,087,757.98","0.68","3,087,757.98","694,500.00","4.45","China","Shenzhen Stock Exchange","CNY"
"CWK","CRANSWICK PLC","Consumer Staples","Equity","2,933,715.27","0.64","2,933,715.27","38,895.00","75.43","United Kingdom","London Stock Exchange","GBP"
"SIGMAFA","ALFA A","Consumer Staples","Equity","2,913,364.81","0.64","2,913,364.81","3,117,943.00","0.93","Mexico","Bolsa Mexicana De Valores","MXN"
"PIIND","P.I. INDUSTRIES LTD","Materials","Equity","2,798,588.19","0.61","2,798,588.19","102,344.00","27.34","India","National Stock Exchange Of India","INR"
"MFI","MAPLE LEAF FOODS INC","Consumer Staples","Equity","2,351,635.30","0.52","2,351,635.30","108,986.00","21.58","Canada","Toronto Stock Exchange","CAD"
"FMC","FMC CORP","Materials","Equity","2,328,350.35","0.51","2,328,350.35","205,141.00","11.35","United States","New York Stock Exchange Inc.","USD"
"VIS","VISCOFAN SA","Consumer Staples","Equity","2,198,092.39","0.48","2,198,092.39","32,613.00","67.40","Spain","Bolsa De Madrid","EUR"
"GNS","GENUS PLC","Health Care","Equity","2,111,587.60","0.46","2,111,587.60","68,293.00","30.92","United Kingdom","London Stock Exchange","GBP"
"BAKKA","BAKKAFROST","Consumer Staples","Equity","2,082,747.67","0.46","2,082,747.67","49,922.00","41.72","Norway","Oslo Bors Asa","NOK"
"LNN","LINDSAY CORP","Industrials","Equity","2,082,756.60","0.46","2,082,756.60","17,055.00","122.12","United States","New York Stock Exchange Inc.","USD"
"PPC","PILGRIMS PRIDE CORP","Consumer Staples","Equity","2,020,562.56","0.44","2,020,562.56","70,256.00","28.76","United States","NASDAQ","USD"
"DOLE","DOLE PLC","Consumer Staples","Equity","1,860,313.80","0.41","1,860,313.80","132,690.00","14.02","United States","New York Stock Exchange Inc.","USD"
"300498","WENS FOODSTUFF GROUP LTD","Consumer Staples","Equity","1,695,630.17","0.37","1,695,630.17","873,301.00","1.94","China","Shenzhen Stock Exchange","CNY"
"ESCORTS","ESCORTS KUBOTA LTD","Industrials","Equity","1,608,847.96","0.35","1,608,847.96","52,035.00","30.92","India","National Stock Exchange Of India","INR"
"2296","ITOHAM YONEKYU HOLDINGS INC","Consumer Staples","Equity","1,573,460.83","0.34","1,573,460.83","53,800.00","29.25","Japan","Tokyo Stock Exchange","JPY"
"000895","HENAN SHUANGHUI INVESTMENT & DEVEL","Consumer Staples","Equity","1,558,721.88","0.34","1,558,721.88","454,500.00","3.43","China","Shenzhen Stock Exchange","CNY"
"DMC","DEL MONTE CORP","Consumer Staples","Equity","1,519,731.66","0.33","1,519,731.66","53,853.00","28.22","United States","New York Stock Exchange Inc.","USD"
"1377","SAKATA SEED CORP","Consumer Staples","Equity","1,475,100.13","0.32","1,475,100.13","56,900.00","25.92","Japan","Tokyo Stock Exchange","JPY"
"2607","FUJI OIL LTD","Consumer Staples","Equity","1,465,392.28","0.32","1,465,392.28","59,700.00","24.55","Japan","Tokyo Stock Exchange","JPY"
"002311","GUANGDONG HAID GROUP LTD A","Consumer Staples","Equity","1,461,510.58","0.32","1,461,510.58","216,000.00","6.77","China","Shenzhen Stock Exchange","CNY"
"IOICORP","IOI CORPORATION","Consumer Staples","Equity","1,405,435.29","0.31","1,405,435.29","1,352,400.00","1.04","Malaysia","Bursa Malaysia","MYR"
"SEB","SEABOARD CORP","Consumer Staples","Equity","1,383,550.85","0.30","1,383,550.85","319.00","4,337.15","United States","Nyse Mkt Llc","USD"
"FERTIGLB","FERTIGLOBE COMPANY PJSC PLC","Materials","Equity","1,381,494.63","0.30","1,381,494.63","1,893,292.00","0.73","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"1333","UMIOS CORP","Consumer Staples","Equity","1,359,028.84","0.30","1,359,028.84","167,200.00","8.13","Japan","Tokyo Stock Exchange","JPY"
