Fund Holdings as of,"03/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,300,009,099.44","18.81","1,300,009,099.44","17,003,800.00","76.45","Taiwan","Taiwan Stock Exchange","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","654,328,643.35","9.47","654,328,643.35","3,231,263.00","202.50","Korea (South)","Korea Exchange (Stock Market)","KRW"
"000660","SK HYNIX INC","Information Technology","Equity","605,561,404.08","8.76","605,561,404.08","381,666.00","1,586.63","Korea (South)","Korea Exchange (Stock Market)","KRW"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Financials","Equity","327,400,602.68","4.74","327,400,602.68","6,635,602.00","49.34","Germany","Xetra","USD"
"2454","MEDIATEK INC","Information Technology","Equity","130,480,503.44","1.89","130,480,503.44","994,700.00","131.18","Taiwan","Taiwan Stock Exchange","TWD"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","87,107,176.36","1.26","87,107,176.36","1,342,500.00","64.88","Taiwan","Taiwan Stock Exchange","TWD"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","75,198,042.40","1.09","75,198,042.40","552,561.00","136.09","Korea (South)","Korea Exchange (Stock Market)","KRW"
"402340","SK SQUARE LTD","Industrials","Equity","66,134,171.68","0.96","66,134,171.68","63,612.00","1,039.65","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","65,581,505.68","0.95","65,581,505.68","7,796,221.00","8.41","India","National Stock Exchange Of India","INR"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","64,116,788.62","0.93","64,116,788.62","8,525,800.00","7.52","Taiwan","Taiwan Stock Exchange","TWD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","57,423,721.93","0.83","57,423,721.93","4,193,495.00","13.69","India","National Stock Exchange Of India","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","54,894,733.93","0.79","54,894,733.93","3,703,761.00","14.82","India","National Stock Exchange Of India","INR"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","50,533,145.12","0.73","50,533,145.12","38,831.00","1,301.36","Korea (South)","Korea Exchange (Stock Market)","KRW"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","48,972,632.90","0.71","48,972,632.90","2,296,400.00","21.33","Taiwan","Taiwan Stock Exchange","TWD"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","41,372,107.57","0.60","41,372,107.57","7,760,000.00","5.33","Taiwan","Taiwan Stock Exchange","TWD"
"2383","ELITE MATERIAL LTD","Information Technology","Equity","38,023,764.85","0.55","38,023,764.85","200,000.00","190.12","Taiwan","Taiwan Stock Exchange","TWD"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","37,875,321.28","0.55","37,875,321.28","1,887,967.00","20.06","India","National Stock Exchange Of India","INR"
"1120","AL RAJHI BANK","Financials","Equity","35,595,438.66","0.52","35,595,438.66","2,024,949.00","17.58","Saudi Arabia","Saudi Stock Exchange","SAR"
"2327","YAGEO CORP","Information Technology","Equity","34,879,211.38","0.50","34,879,211.38","1,067,404.00","32.68","Taiwan","Taiwan Stock Exchange","TWD"
"ANG","ANGLOGOLD ASHANTI PLC","Materials","Equity","29,912,222.64","0.43","29,912,222.64","348,787.00","85.76","South Africa","Johannesburg Stock Exchange","ZAR"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","29,540,651.19","0.43","29,540,651.19","345,415.00","85.52","Taiwan","Taiwan Stock Exchange","TWD"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","29,501,007.59","0.43","29,501,007.59","91,645.00","321.91","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2222","SAUDI ARABIAN OIL","Energy","Equity","28,964,695.01","0.42","28,964,695.01","4,166,699.00","6.95","Saudi Arabia","Saudi Stock Exchange","SAR"
"3037","UNIMICRON TECHNOLOGY CORP","Information Technology","Equity","27,786,362.85","0.40","27,786,362.85","917,036.00","30.30","Taiwan","Taiwan Stock Exchange","TWD"
"105560","KB FINANCIAL GROUP INC","Financials","Equity","27,070,095.07","0.39","27,070,095.07","243,233.00","111.29","Korea (South)","Korea Exchange (Stock Market)","KRW"
"NPN","NASPERS LIMITED LTD CLASS N","Consumer Discretionary","Equity","25,630,666.15","0.37","25,630,666.15","527,085.00","48.63","South Africa","Johannesburg Stock Exchange","ZAR"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","25,012,445.28","0.36","25,012,445.28","11,330,000.00","2.21","Taiwan","Taiwan Stock Exchange","TWD"
"INFY","INFOSYS LTD","Information Technology","Equity","23,165,226.36","0.34","23,165,226.36","2,106,538.00","11.00","India","National Stock Exchange Of India","INR"
"OTP","OTP BANK","Financials","Equity","23,153,553.23","0.34","23,153,553.23","152,364.00","151.96","Hungary","Budapest Stock Exchange","HUF"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","22,944,980.00","0.33","22,944,980.00","2,009,845.00","11.42","Mexico","Bolsa Mexicana De Valores","MXN"
"AXISBANK","AXIS BANK LTD","Financials","Equity","22,184,045.19","0.32","22,184,045.19","1,574,049.00","14.09","India","National Stock Exchange Of India","INR"
"2382","QUANTA COMPUTER INC","Information Technology","Equity","22,085,975.61","0.32","22,085,975.61","1,873,500.00","11.79","Taiwan","Taiwan Stock Exchange","TWD"
"GFI","GOLD FIELDS LTD","Materials","Equity","22,034,160.69","0.32","22,034,160.69","606,996.00","36.30","South Africa","Johannesburg Stock Exchange","ZAR"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Equity","21,723,011.19","0.31","21,723,011.19","5,741,338.00","3.78","Taiwan","Taiwan Stock Exchange","TWD"
"FSR","FIRSTRAND LTD","Financials","Equity","21,131,838.90","0.31","21,131,838.90","3,553,752.00","5.95","South Africa","Johannesburg Stock Exchange","ZAR"
"1180","THE SAUDI NATIONAL BANK","Financials","Equity","21,008,110.69","0.30","21,008,110.69","2,024,565.00","10.38","Saudi Arabia","Saudi Stock Exchange","SAR"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","20,367,448.88","0.29","20,367,448.88","2,142,300.00","9.51","Thailand","Stock Exchange Of Thailand","THB"
"1303","NAN YA PLASTICS CORP","Materials","Equity","20,340,650.41","0.29","20,340,650.41","3,302,000.00","6.16","Taiwan","Taiwan Stock Exchange","TWD"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","20,071,221.80","0.29","20,071,221.80","285,898.00","70.20","Korea (South)","Korea Exchange (Stock Market)","KRW"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","19,919,977.04","0.29","19,919,977.04","7,995,049.00","2.49","Kuwait","Kuwait Stock Exchange","KWD"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","19,856,278.06","0.29","19,856,278.06","602,781.00","32.94","India","National Stock Exchange Of India","INR"
"3017","ASIA VITAL COMPONENTS LTD","Information Technology","Equity","19,590,994.37","0.28","19,590,994.37","227,000.00","86.30","Taiwan","Taiwan Stock Exchange","TWD"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","19,346,812.25","0.28","19,346,812.25","1,786,260.00","10.83","India","National Stock Exchange Of India","INR"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","19,338,293.29","0.28","19,338,293.29","457,343.00","42.28","India","National Stock Exchange Of India","INR"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","18,933,775.61","0.27","18,933,775.61","6,469,040.00","2.93","Taiwan","Taiwan Stock Exchange","TWD"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","18,726,513.66","0.27","18,726,513.66","1,749,600.00","10.70","Mexico","Bolsa Mexicana De Valores","MXN"
"2360","CHROMA ATE INC","Information Technology","Equity","18,697,936.21","0.27","18,697,936.21","264,000.00","70.83","Taiwan","Taiwan Stock Exchange","TWD"
"SBK","STANDARD BANK GROUP","Financials","Equity","18,025,403.54","0.26","18,025,403.54","906,666.00","19.88","South Africa","Johannesburg Stock Exchange","ZAR"
"BAP","CREDICORP LTD","Financials","Equity","17,869,299.17","0.26","17,869,299.17","45,677.00","391.21","Peru","New York Stock Exchange Inc.","USD"
"CPI","CAPITEC LTD","Financials","Equity","17,559,576.28","0.25","17,559,576.28","59,645.00","294.40","South Africa","Johannesburg Stock Exchange","ZAR"
"012450","HANWHA AEROSPACE LTD","Industrials","Equity","17,421,273.88","0.25","17,421,273.88","22,661.00","768.78","Korea (South)","Korea Exchange (Stock Market)","KRW"
"MTN","MTN GROUP LTD","Communication","Equity","17,415,588.50","0.25","17,415,588.50","1,210,017.00","14.39","South Africa","Johannesburg Stock Exchange","ZAR"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","17,169,896.23","0.25","17,169,896.23","304,437.00","56.40","Korea (South)","Korea Exchange (Stock Market)","KRW"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","17,095,728.23","0.25","17,095,728.23","608,682.00","28.09","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"028260","SAMSUNG C&T CORP","Industrials","Equity","16,018,568.11","0.23","16,018,568.11","56,477.00","283.63","Korea (South)","Korea Exchange (Stock Market)","KRW"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","15,579,229.22","0.23","15,579,229.22","6,004,293.00","2.59","Kuwait","Kuwait Stock Exchange","KWD"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Equity","15,570,910.32","0.23","15,570,910.32","7,410,085.00","2.10","Taiwan","Taiwan Stock Exchange","TWD"
"000270","KIA CORPORATION","Consumer Discretionary","Equity","15,562,397.28","0.23","15,562,397.28","156,484.00","99.45","Korea (South)","Korea Exchange (Stock Market)","KRW"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","15,481,408.01","0.22","15,481,408.01","188,390.00","82.18","Korea (South)","Korea Exchange (Stock Market)","KRW"
"7010","SAUDI TELECOM","Communication","Equity","15,455,234.28","0.22","15,455,234.28","1,340,763.00","11.53","Saudi Arabia","Saudi Stock Exchange","SAR"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","15,371,310.11","0.22","15,371,310.11","3,689,405.00","4.17","India","National Stock Exchange Of India","INR"
"2887","TS FINANCIAL HOLDING LTD","Financials","Equity","15,072,814.76","0.22","15,072,814.76","14,115,040.00","1.07","Taiwan","Taiwan Stock Exchange","TWD"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","15,034,285.51","0.22","15,034,285.51","1,170,011.00","12.85","Mexico","Bolsa Mexicana De Valores","MXN"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","14,861,240.24","0.22","14,861,240.24","4,503,434.00","3.30","United Arab Emirates","Dubai Financial Market","AED"
"FAB","FIRST ABU DHABI BANK","Financials","Equity","14,558,168.18","0.21","14,558,168.18","3,072,903.00","4.74","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","14,517,703.93","0.21","14,517,703.93","3,020,512.00","4.81","Qatar","Qatar Exchange","QAR"
"PKN","ORLEN SA","Energy","Equity","14,102,751.69","0.20","14,102,751.69","397,555.00","35.47","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"6223","MPI CORP","Information Technology","Equity","13,846,153.85","0.20","13,846,153.85","60,000.00","230.77","Taiwan","Gretai Securities Market","TWD"
"032830","SAMSUNG LIFE LTD","Financials","Equity","13,716,231.35","0.20","13,716,231.35","54,736.00","250.59","Korea (South)","Korea Exchange (Stock Market)","KRW"
"SBIN","STATE BANK OF INDIA","Financials","Equity","13,714,206.51","0.20","13,714,206.51","1,255,740.00","10.92","India","National Stock Exchange Of India","INR"
"AMXB","AMERICA MOVIL B","Communication","Equity","13,353,861.75","0.19","13,353,861.75","10,353,627.00","1.29","Mexico","Bolsa Mexicana De Valores","MXN"
"VAL","VALTERRA PLATINUM LTD","Materials","Equity","13,302,455.63","0.19","13,302,455.63","180,930.00","73.52","South Africa","Johannesburg Stock Exchange","ZAR"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","13,108,680.48","0.19","13,108,680.48","655,348.00","20.00","India","National Stock Exchange Of India","INR"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","13,042,970.43","0.19","13,042,970.43","40,354.00","323.21","Korea (South)","Korea Exchange (Stock Market)","KRW"
"068270","CELLTRION INC","Health Care","Equity","12,939,811.83","0.19","12,939,811.83","107,719.00","120.13","Korea (South)","Korea Exchange (Stock Market)","KRW"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","12,928,834.28","0.19","12,928,834.28","85,701.00","150.86","India","National Stock Exchange Of India","INR"
"CEMEXCPO","CEMEX CPO","Materials","Equity","12,721,787.02","0.18","12,721,787.02","10,374,460.00","1.23","Mexico","Bolsa Mexicana De Valores","MXN"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","12,598,702.89","0.18","12,598,702.89","41,189.00","305.88","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1211","SAUDI ARABIAN MINING","Materials","Equity","12,599,103.13","0.18","12,599,103.13","803,134.00","15.69","Saudi Arabia","Saudi Stock Exchange","SAR"
