Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","149,124,460.66","6.65","149,124,460.66","483,182.00","308.63","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","135,135,312.34","6.03","135,135,312.34","346,066.00","390.49","United States","NASDAQ","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","127,576,827.13","5.69","127,576,827.13","654,811.00","194.83","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","94,058,752.01","4.20","94,058,752.01","267,661.00","351.41","United States","NASDAQ","USD"
"TJX","TJX INC","Consumer Discretionary","Equity","87,574,327.56","3.91","87,574,327.56","567,706.00","154.26","United States","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Health Care","Equity","86,898,961.26","3.88","86,898,961.26","71,586.00","1,213.91","United States","New York Stock Exchange Inc.","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","86,699,963.10","3.87","86,699,963.10","148,739.00","582.90","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","82,802,216.32","3.69","82,802,216.32","137,308.00","603.04","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","71,430,773.05","3.19","71,430,773.05","303,251.00","235.55","United States","NASDAQ","USD"
"V","VISA INC CLASS A","Financials","Equity","70,289,433.00","3.14","70,289,433.00","194,100.00","362.13","United States","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","Financials","Equity","48,176,696.63","2.15","48,176,696.63","89,317.00","539.39","United States","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","47,564,208.00","2.12","47,564,208.00","180,825.00","263.04","United States","New York Stock Exchange Inc.","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","46,486,695.42","2.07","46,486,695.42","129,162.00","359.91","United States","NASDAQ","USD"
"XOM","EXXONMOBIL HOLDINGS CORP","Other","Equity","43,299,465.23","1.93","43,299,465.23","315,847.00","137.09","United States","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Communication","Equity","41,621,098.85","1.86","41,621,098.85","536,009.00","77.65","United States","NASDAQ","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","41,170,294.62","1.84","41,170,294.62","81,079.00","507.78","United States","New York Stock Exchange Inc.","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","36,605,687.14","1.63","36,605,687.14","102,773.00","356.18","United States","NASDAQ","USD"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","29,773,911.86","1.33","29,773,911.86","139,502.00","213.43","United States","NASDAQ","USD"
"MRK","MERCK & CO INC","Health Care","Equity","27,886,105.72","1.24","27,886,105.72","215,237.00","129.56","United States","New York Stock Exchange Inc.","USD"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","27,455,243.94","1.22","27,455,243.94","171,606.00","159.99","United States","New York Stock Exchange Inc.","USD"
"LIN","LINDE PLC","Materials","Equity","26,032,636.72","1.16","26,032,636.72","47,623.00","546.64","United States","NASDAQ","USD"
"FTNT","FORTINET INC","Information Technology","Equity","25,047,968.75","1.12","25,047,968.75","160,307.00","156.25","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","24,773,873.44","1.11","24,773,873.44","26,032.00","951.67","United States","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","24,100,535.06","1.08","24,100,535.06","99,478.00","242.27","United States","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","22,412,699.44","1.00","22,412,699.44","42,524.00","527.06","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","22,259,738.88","0.99","22,259,738.88","199,032.00","111.84","United States","NASDAQ","USD"
