Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ABT","ABBOTT LABORATORIES","Health Care","Equity","28,328,648.40","16.99","28,328,648.40","296,946.00","95.40","United States","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","25,721,631.78","15.42","25,721,631.78","60,378.00","426.01","United States","NASDAQ","USD"
"SYK","STRYKER CORP","Health Care","Equity","19,207,735.88","11.52","19,207,735.88","58,822.00","326.54","United States","New York Stock Exchange Inc.","USD"
"MDT","MEDTRONIC PLC","Health Care","Equity","18,208,544.01","10.92","18,208,544.01","218,879.00","83.19","United States","New York Stock Exchange Inc.","USD"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","11,438,430.86","6.86","11,438,430.86","253,399.00","45.14","United States","New York Stock Exchange Inc.","USD"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","9,263,642.31","5.55","9,263,642.31","98,163.00","94.37","United States","New York Stock Exchange Inc.","USD"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","7,501,294.40","4.50","7,501,294.40","13,448.00","557.80","United States","NASDAQ","USD"
"BDX","BECTON DICKINSON","Health Care","Equity","7,425,649.92","4.45","7,425,649.92","46,974.00","158.08","United States","New York Stock Exchange Inc.","USD"
"RMD","RESMED INC","Health Care","Equity","5,184,149.90","3.11","5,184,149.90","24,730.00","209.63","United States","New York Stock Exchange Inc.","USD"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","5,084,696.88","3.05","5,084,696.88","77,552.00","65.56","United States","NASDAQ","USD"
"DXCM","DEXCOM INC","Health Care","Equity","4,687,181.25","2.81","4,687,181.25","65,785.00","71.25","United States","NASDAQ","USD"
"STE","STERIS","Health Care","Equity","3,648,522.20","2.19","3,648,522.20","16,721.00","218.20","United States","New York Stock Exchange Inc.","USD"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","2,884,935.54","1.73","2,884,935.54","32,982.00","87.47","United States","New York Stock Exchange Inc.","USD"
"PEN","PENUMBRA INC","Health Care","Equity","2,135,693.28","1.28","2,135,693.28","6,704.00","318.57","United States","New York Stock Exchange Inc.","USD"
"BAX","BAXTER INTERNATIONAL INC","Health Care","Equity","1,994,513.70","1.20","1,994,513.70","88,058.00","22.65","United States","New York Stock Exchange Inc.","USD"
"PODD","INSULET CORP","Health Care","Equity","1,944,647.04","1.17","1,944,647.04","11,823.00","164.48","United States","NASDAQ","USD"
"GMED","GLOBUS MEDICAL INC CLASS A","Health Care","Equity","1,547,758.16","0.93","1,547,758.16","19,318.00","80.12","United States","New York Stock Exchange Inc.","USD"
"GKOS","GLAUKOS CORP","Health Care","Equity","1,485,180.08","0.89","1,485,180.08","10,012.00","148.34","United States","New York Stock Exchange Inc.","USD"
"TFX","TELEFLEX INC","Health Care","Equity","1,013,500.36","0.61","1,013,500.36","7,564.00","133.99","United States","New York Stock Exchange Inc.","USD"
"LIVN","LIVANOVA PLC","Health Care","Equity","788,118.50","0.47","788,118.50","9,425.00","83.62","United States","NASDAQ","USD"
"NVST","ENVISTA HOLDINGS CORP","Health Care","Equity","768,694.23","0.46","768,694.23","27,821.00","27.63","United States","New York Stock Exchange Inc.","USD"
"IRTC","IRHYTHM HOLDINGS INC","Health Care","Equity","708,540.96","0.42","708,540.96","5,602.00","126.48","United States","NASDAQ","USD"
"ITGR","INTEGER HOLDINGS CORP","Health Care","Equity","558,281.52","0.33","558,281.52","5,868.00","95.14","United States","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","458,867.34","0.28","458,867.34","458,867.00","100.00","United States","-","USD"
"AXGN","AXOGEN INC","Health Care","Equity","416,268.19","0.25","416,268.19","9,071.00","45.89","United States","NASDAQ","USD"
