,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
1,SK HYNIX INC,KR7000660001,"Korea, Republic of",KRW,-,Equities,-,-,Information Technology,11.55%
2,INFINEON TECHNOLOGIES AG,DE0006231004,Germany,EUR,XETRA,Equities,-,DAX Index,Information Technology,6.19%
3,DELTA ELECTRONICS INC,TW0002308004,Taiwan,TWD,-,Equities,-,-,Information Technology,5.98%
4,GE VERNOVA INC,US36828A1016,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Industrials,5.18%
5,TEXAS INSTRUMENT INC,US8825081040,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Information Technology,5.05%
6,STMICROELECTRONICS ADR NV,US8610121027,Netherlands,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Information Technology,4.47%
7,ABB LTD,CH0012221716,Switzerland,CHF,Scoach Switzerland,Equities,A2,Swiss Market Index,Industrials,4.34%
8,EATON PLC,IE00B8KQN827,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Industrials,3.93%
9,SIEMENS ENERGY N AG,DE000ENER6Y0,Germany,EUR,-,Equities,-,DAX Index,Industrials,3.89%
10,MITSUBISHI ELECTRIC CORP,JP3902400005,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Industrials,3.80%
11,GE AEROSPACE,US3696043013,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Industrials,3.72%
12,MITSUBISHI CORP,JP3898400001,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Industrials,3.66%
13,SCHNEIDER ELECTRIC,FR0000121972,France,EUR,Euronext Paris,Equities,A3,CAC 40 Index,Industrials,3.53%
14,RENESAS ELECTRONICS CORP,JP3164720009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,3.40%
15,ILLINOIS TOOL INC,US4523081093,United States,USD,New York Stock Exchange,Equities,A2,S&P 500 Index,Industrials,3.33%
16,MONOLITHIC POWER SYSTEMS INC,US6098391054,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Information Technology,2.92%
17,HONDA MOTOR LTD,JP3854600008,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Consumer Discretionary,2.85%
18,LEGRAND SA,FR0010307819,France,EUR,Euronext Paris,Equities,A3,CAC 40 Index,Industrials,2.79%
19,HITACHI LTD,JP3788600009,Japan,JPY,Tokyo Stock Exchange,Equities,A3,TOPIX Index,Industrials,2.72%
20,HONEYWELL INTERNATIONAL INC WHEN I,US4385162056,United States,USD,-,Equities,-,-,Industrials,1.79%
21,CHROMA ATE INC,TW0002360005,Taiwan,TWD,-,Equities,-,-,Information Technology,1.79%
22,HONEYWELL AEROSPACE INC,US43849R1059,United States,USD,-,Equities,-,-,Industrials,1.73%
