"Although information in this document has been obtained from sources believed to be reliable, DWS does not guarantee its accuracy, completeness or fairness and it should not be relied upon as such. DWS shall have no liability for any errors, inaccuracies or omissions relating to the information contained herein and have no obligation to update, modify or amend any of the information in the event that it proves inaccurate. DWS SPECIFICALLY DISCLAIMS ALL LIABILITY FOR ANY DIRECT, INDIRECT, CONSEQUENTIAL OR OTHER LOSSES OR DAMAGES INCLUDING LOSS OF PROFITS INCURRED BY YOU OR ANY THIRD PARTY THAT MAY ARISE FROM ANY RELIANCE ON THIS DOCUMENT OR FOR THE RELIABILITY, ACCURACY, COMPLETENESS OR TIMELINESS THEREOF. This document is for information purposes only and does not constitute an offer, recommendation, or solicitation to enter into any transaction.",,,,,,,,,,
,,,,,,,,,,
,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
1,EXXON MOBIL CORP,US30231G1022,United States,USD,New York Stock Exchange,Equities,Aa2,S&P 500 Index,Integrated Oil & Gas,17.30%
2,CHEVRON CORP,US1667641005,United States,USD,New York Stock Exchange,Equities,Aa2,S&P 500 Index,Integrated Oil & Gas,9.51%
3,SHELL PLC,GB00BP6MXD84,Netherlands,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Integrated Oil & Gas,6.60%
4,TOTALENERGIES,FR0000120271,France,EUR,Euronext Paris,Equities,Aa1,CAC 40 Index,Integrated Oil & Gas,4.75%
5,CONOCOPHILLIPS,US20825C1045,United States,USD,New York Stock Exchange,Equities,A1,S&P 500 Index,Oil & Gas Exploration & Production,3.90%
6,ENBRIDGE INC,CA29250N1050,Canada,CAD,Toronto Stock Exchange,Equities,Baa1,S&P/TSX COMPOSITE Index,Oil & Gas Storage & Transportation,3.69%
7,BP PLC,GB0007980591,United Kingdom,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Integrated Oil & Gas,3.00%
8,WILLIAMS INC,US9694571004,United States,USD,New York Stock Exchange,Equities,Baa3,S&P 500 Index,Oil & Gas Storage & Transportation,2.81%
9,CANADIAN NATURAL RESOURCES LTD,CA1363851017,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Oil & Gas Exploration & Production,2.51%
10,VALERO ENERGY CORP,US91913Y1001,United States,USD,New York Stock Exchange,Equities,Baa2,S&P 500 Index,Oil & Gas Refining & Marketing,2.44%
11,MARATHON PETROLEUM CORP,US56585A1025,United States,USD,New York Stock Exchange,Equities,Baa2,S&P 500 Index,Oil & Gas Refining & Marketing,2.34%
12,TC ENERGY CORP,CA87807B1076,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Oil & Gas Storage & Transportation,2.18%
13,EOG RESOURCES INC,US26875P1012,United States,USD,New York Stock Exchange,Equities,A3,S&P 500 Index,Oil & Gas Exploration & Production,2.16%
14,PHILLIPS,US7185461040,United States,USD,New York Stock Exchange,Equities,Baa1,S&P 500 Index,Oil & Gas Refining & Marketing,2.14%
15,SLB NV,AN8068571086,United States,USD,New York Stock Exchange,Equities,A1,S&P 500 Index,Oil & Gas Equipment & Services,2.13%
16,SUNCOR ENERGY INC (CANADA),CA8672241079,Canada,CAD,Toronto Stock Exchange,Equities,Baa1,S&P/TSX COMPOSITE Index,Integrated Oil & Gas,1.95%
17,KINDER MORGAN INC,US49456B1017,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Oil & Gas Storage & Transportation,1.87%
18,TARGA RESOURCES CORP,US87612G1013,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Oil & Gas Storage & Transportation,1.74%
19,ONEOK INC,US6826801036,United States,USD,New York Stock Exchange,Equities,Baa2,S&P 500 Index,Oil & Gas Storage & Transportation,1.71%
20,BAKER HUGHES CLASS A,US05722G1004,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Oil & Gas Equipment & Services,1.70%
21,CHENIERE ENERGY INC,US16411R2085,United States,USD,New York Stock Exchange,Equities,B1,S&P 500 Index,Oil & Gas Storage & Transportation,1.53%
22,DEVON ENERGY CORP,US25179M1036,United States,USD,New York Stock Exchange,Equities,Baa1,S&P 500 Index,Oil & Gas Exploration & Production,1.41%
23,CAMECO CORP,CA13321L1085,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Coal & Consumable Fuels,1.37%
24,0,IE00BYQNZ507,-,USD,-,Equities,-,-,unknown,1.34%
25,ENI,IT0003132476,Italy,EUR,Milan Stock Exchange,Equities,A3,FTSE Italia All-Share Index,Integrated Oil & Gas,1.30%
26,WOODSIDE ENERGY GROUP LTD,AU0000224040,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Oil & Gas Exploration & Production,1.12%
27,OCCIDENTAL PETROLEUM CORP,US6745991058,United States,USD,New York Stock Exchange,Equities,A1,S&P 500 Index,Integrated Oil & Gas,1.11%
