,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
1,ELI LILLY,US5324571083,United States,USD,New York Stock Exchange,Equities,A2,S&P 500 Index,Pharmaceuticals,12.01%
2,JOHNSON & JOHNSON,US4781601046,United States,USD,New York Stock Exchange,Equities,Aaa,S&P 500 Index,Pharmaceuticals,7.57%
3,ABBVIE INC,US00287Y1091,United States,USD,New York Stock Exchange,Equities,Baa2,S&P 500 Index,Biotechnology,5.47%
4,UNITEDHEALTH GROUP INC,US91324P1021,United States,USD,New York Stock Exchange,Equities,A3,S&P 500 Index,Managed Health Care,4.63%
5,MERCK & CO INC,US58933Y1055,United States,USD,New York Stock Exchange,Equities,A2,S&P 500 Index,Pharmaceuticals,3.89%
6,ROCHE PS PAR AG,CH1499059983,Switzerland,CHF,-,Equities,-,Swiss Market Index,Pharmaceuticals,3.58%
7,ASTRAZENECA PLC,GB0009895292,United Kingdom,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Pharmaceuticals,3.48%
8,NOVARTIS AG,CH0012005267,Switzerland,CHF,Scoach Switzerland,Equities,Aa3,Swiss Market Index,Pharmaceuticals,3.47%
9,AMGEN INC,US0311621009,United States,USD,NASDAQ National Market System,Equities,Baa1,NASDAQ Composite Index,Biotechnology,2.36%
10,THERMO FISHER SCIENTIFIC INC,US8835561023,United States,USD,New York Stock Exchange,Equities,Baa3,S&P 500 Index,Life Sciences Tools & Services,2.29%
11,ABBOTT LABORATORIES,US0028241000,United States,USD,New York Stock Exchange,Equities,A1,S&P 500 Index,Health Care Equipment,1.96%
12,GILEAD SCIENCES INC,US3755581036,United States,USD,NASDAQ National Market System,Equities,Baa1,NASDAQ Composite Index,Biotechnology,1.91%
13,NOVO NORDISK CLASS B,DK0062498333,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,-,Pharmaceuticals,1.88%
14,INTUITIVE SURGICAL INC,US46120E6023,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Health Care Equipment,1.75%
15,PFIZER INC,US7170811035,United States,USD,New York Stock Exchange,Equities,A1,S&P 500 Index,Pharmaceuticals,1.68%
16,CVS HEALTH CORP,US1266501006,United States,USD,New York Stock Exchange,Equities,Baa1,S&P 500 Index,Health Care Services,1.60%
17,VERTEX PHARMACEUTICALS INC,US92532F1003,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Biotechnology,1.54%
18,DANAHER CORP,US2358511028,United States,USD,New York Stock Exchange,Equities,A2,S&P 500 Index,Life Sciences Tools & Services,1.49%
19,BRISTOL MYERS SQUIBB,US1101221083,United States,USD,New York Stock Exchange,Equities,A2,S&P 500 Index,Pharmaceuticals,1.45%
20,STRYKER CORP,US8636671013,United States,USD,New York Stock Exchange,Equities,A3,S&P 500 Index,Health Care Equipment,1.38%
21,GLAXOSMITHKLINE,GB00BN7SWP63,United Kingdom,GBP,-,Equities,-,-,Pharmaceuticals,1.29%
22,MEDTRONIC PLC,IE00BTN1Y115,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Health Care Equipment,1.26%
23,SANOFI SA,FR0000120578,France,EUR,Euronext Paris,Equities,A1,CAC 40 Index,Pharmaceuticals,1.14%
24,MCKESSON CORP,US58155Q1031,United States,USD,New York Stock Exchange,Equities,Baa2,S&P 500 Index,Health Care Distributors,1.11%
25,ELEVANCE HEALTH INC,US0367521038,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Managed Health Care,1.04%
26,CIGNA,US1255231003,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Health Care Services,0.89%
27,REGENERON PHARMACEUTICALS INC,US75886F1075,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Biotechnology,0.80%
28,BOSTON SCIENTIFIC CORP,US1011371077,United States,USD,New York Stock Exchange,Equities,Baa3,S&P 500 Index,Health Care Equipment,0.79%
29,HCA HEALTHCARE INC,US40412C1018,United States,USD,New York Stock Exchange,Equities,B3,S&P 500 Index,Health Care Facilities,0.75%
30,ESSILORLUXOTTICA SA,FR0000121667,France,EUR,Euronext Paris,Equities,A2,CAC 40 Index,Health Care Supplies,0.68%
31,CARDINAL HEALTH INC,US14149Y1082,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Health Care Distributors,0.68%
32,ARGENX,NL0010832176,Netherlands,EUR,Euronext Brussels,Equities,-,-,Biotechnology,0.67%
33,HOYA CORP,JP3837800006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Health Care Supplies,0.66%
34,EDWARDS LIFESCIENCES CORP,US28176E1082,United States,USD,New York Stock Exchange,Equities,Baa3,S&P 500 Index,Health Care Equipment,0.64%
35,CENCORA INC,US03073E1055,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Health Care Distributors,0.63%
36,BAYER AG,DE000BAY0017,Germany,EUR,XETRA,Equities,A3,DAX Index,Pharmaceuticals,0.63%
37,TAKEDA PHARMACEUTICAL LTD,JP3463000004,Japan,JPY,Tokyo Stock Exchange,Equities,Aa3,TOPIX Index,Pharmaceuticals,0.62%
38,LONZA GROUP AG,CH0013841017,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Life Sciences Tools & Services,0.57%
39,HUMANA INC,US4448591028,United States,USD,New York Stock Exchange,Equities,Aa2,S&P 500 Index,Managed Health Care,0.57%
40,0,IE00BYQNZ507,-,USD,-,Equities,-,-,unknown,0.56%
41,BECTON DICKINSON,US0758871091,United States,USD,New York Stock Exchange,Equities,A3,S&P 500 Index,Health Care Equipment,0.54%
42,IDEXX LABORATORIES INC,US45168D1046,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Health Care Equipment,0.52%
43,GALDERMA GROUP N AG,CH1335392721,Switzerland,CHF,-,Equities,-,Swiss Market Index,Pharmaceuticals,0.51%
44,HALEON PLC,GB00BMX86B70,Switzerland,GBP,-,Equities,-,-,Pharmaceuticals,0.50%
45,ALNYLAM PHARMACEUTICALS INC,US02043Q1076,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Biotechnology,0.47%
46,TEVA PHARMACEUTICAL INDUSTRIES ADR,US8816242098,Israel,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Pharmaceuticals,0.47%
47,CSL LTD,AU000000CSL8,United States,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Biotechnology,0.47%
48,SANDOZ GROUP AG,CH1243598427,Switzerland,CHF,-,Equities,-,Swiss Market Index,Pharmaceuticals,0.46%
49,AGILENT TECHNOLOGIES INC,US00846U1016,United States,USD,New York Stock Exchange,Equities,Baa2,S&P 500 Index,Life Sciences Tools & Services,0.46%
50,NATERA INC,US6323071042,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Biotechnology,0.45%
51,UCB SA,BE0003739530,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Pharmaceuticals,0.44%
52,WATERS CORP,US9418481035,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Life Sciences Tools & Services,0.44%
53,ALCON AG,CH0432492467,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Health Care Supplies,0.41%
